00:59:09:147 [main] INFO  FileHomework.Main - number of unique words: 10
01:00:54:913 [main] INFO  FileHomework.Main - {which=1, Hello=2, this=1, length=1, words=2, is=2, text=2, my=1, ten=1, creative=1}
01:00:54:917 [main] INFO  FileHomework.Main - words: [which, Hello, this, length, words, is, text, my, ten, creative]
01:00:54:918 [main] INFO  FileHomework.Main - number of unique words: 10
01:04:17:157 [main] INFO  FileHomework.Main - {which=1, Hello=2, HeLLo=1, this=1, length=1, words=2, is=2, TeXt=1, text=2, my=1, ten=1, creative=1}
01:04:17:161 [main] INFO  FileHomework.Main - words: [which, Hello, HeLLo, this, length, words, is, TeXt, text, my, ten, creative]
01:04:17:161 [main] INFO  FileHomework.Main - number of unique words: 12
01:05:06:753 [main] INFO  FileHomework.Main - {which=1, Hello=2, HeLLo=1, this=1, length=1, words=2, is=2, TeXt=1, text=2, my=1, ten=1, creative=1}
01:05:06:756 [main] INFO  FileHomework.Main - words: [which, Hello, HeLLo, this, length, words, is, TeXt, text, my, ten, creative]
