01:50:37:392 [main] INFO  FileHomework.Main - words: [which, this, length, words, is, hello, text, my, ten, creative].
01:50:37:413 [main] INFO  FileHomework.Main - number of unique words: 10.
01:51:14:682 [main] INFO  FileHomework.Main - {which=1, this=1, length=1, words=2, is=2, hello=3, text=3, my=1, ten=1, creative=1}.
01:51:14:686 [main] INFO  FileHomework.Main - words: [which, this, length, words, is, hello, text, my, ten, creative].
01:51:14:686 [main] INFO  FileHomework.Main - number of unique words: 10.
01:52:38:244 [main] INFO  FileHomework.Main - {which=1, this=1, length=1, words=2, is=2, hello=3, text=3, my=1, ten=1, creative=1}.
01:52:38:249 [main] INFO  FileHomework.Main - words: [which, this, length, words, is, hello, text, my, ten, creative].
01:52:38:249 [main] INFO  FileHomework.Main - number of unique words: 10.
01:52:54:901 [main] INFO  FileHomework.Main - {which=1, this=1, length=1, words=2, is=2, hello=3, text=3, my=1, ten=1, creative=1}.
01:52:54:906 [main] INFO  FileHomework.Main - words: [which, this, length, words, is, hello, text, my, ten, creative].
